"","Country","Value"
"1","Albania",17.597514668
"2","Algeria",67.0635166
"3","Argentina",53.5168621
"4","Armenia",15.352530765
"5","Australia",112.33364295
"6","Austria",177.03027544
"7","Azerbaijan",10.084641665
"8","Bahamas",973.00478995
"9","Bahrain",32.29256976
"10","Barbados",63.79468378
"11","Belarus",39.765324282
"12","Belgium",482.46924368
"13","Belize",145.91866765
"14","Bolivia (Plurinational State of)",196.69161994
"15","Bosnia and Herzegovina",19.88388668
"16","Brazil",113.54906913
"17","Bulgaria",104.241700085
"18","Burundi",32.18964159
"19","Canada",701.71070248
"20","Chile",444.94291056
"21","Colombia",116.22842541
"22","Costa Rica",777.2256187
"23","Cote d'Ivoire",8.372336869
"24","Croatia",124.14667535
"25","Cyprus",76.223216683
"26","Czech Republic",157.35326831
"27","Egypt",1.269679086
"28","El Salvador",100.284372215
"29","Estonia",179.73915629
"30","Finland",397.86720934
"31","France",350.5262742
"32","Georgia",27.96976678
"33","Germany",576.70260621
"34","Greece",57.327819681
"35","Grenada",902.17783681
"36","Guatemala",14.004449945
"37","Guinea",0.35205186
"38","Guyana",171.56767141
"39","Honduras",46.16562861
"40","Hong Kong Special Administrative Region of China",194.52884197
"41","Hungary",62.605898732
"42","Iceland",423.01762087
"43","India",40.823530972
"44","Ireland",314.93953402
"45","Israel",419.07168832
"46","Italy",65.823245626
"47","Jamaica",348.12300678
"48","Japan",69.247156433
"49","Kazakhstan",14.075169222
"50","Kenya",72.396758395
"51","Kuwait",105.28084524
"52","Kyrgyzstan",3.496827127
"53","Latvia*",149.24693998
"54","Lithuania",121.28553128
"55","Luxembourg",408.36279855
"56","Maldives",263.8254857
"57","Malta*",94.40087233
"58","Mauritius",271.55164678
"59","Mexico",232.84998804
"60","Mongolia",93.48493517
"61","Montenegro",53.586619967
"62","Morocco",41.726493431
"63","Mozambique",19.350547846
"64","Netherlands",360.32574548
"65","New Zealand",464.70141419
"66","Nicaragua",62.64509137
"67","Norway",424.73532735
"68","Oman",12.093661882
"69","Panama*",207.04520241
"70","Paraguay",284.79194741
"71","Philippines",10.683229977
"72","Poland",42.670854442
"73","Portugal",169.96570348
"74","Republic of Korea",199.43453261
"75","Republic of Moldova",97.52152533
"76","Romania",14.483856548
"77","Russian Federation",111.101487202
"79","Sao Tome and Principe",0
"80","Serbia",32.202059402
"81","Sierra Leone",23.78739931
"82","Singapore",183.78613065
"83","Slovakia",27.274374649
"84","Slovenia",138.090676831
"85","Solomon Islands",212.97153843
"86","Spain",115.04755162
"87","Sweden",1317.7227589
"88","Switzerland",249.17938611
"89","Syrian Arab Republic",0.793892321
"90","Tajikistan",16.120747978
"91","The former Yugoslav Republic of Macedonia",40.513113996
"92","Trinidad and Tobago",466.65078578
"93","Turkey",23.36684165
"94","Uganda",299.76135465
"95","Ukraine",32.548024746
"96","Yemen",1.246192501
