,Country,Value
1,Albania,17.59751467
2,Algeria,67.0635166
3,Argentina,53.5168621
4,Armenia,15.35253077
5,Australia,112.333643
6,Austria,177.0302754
7,Azerbaijan,10.08464167
8,Bahamas,973.00479
9,Bahrain,32.29256976
10,Barbados,63.79468378
11,Belarus,39.76532428
12,Belgium,482.4692437
13,Belize,145.9186677
14,Bolivia ,196.6916199
15,Bosnia and Herzegovina,19.88388668
16,Brazil,113.5490691
17,Bulgaria,104.2417001
18,Burundi,32.18964159
19,Canada,701.7107025
20,Chile,444.9429106
21,China, 10.2
21,Colombia,116.2284254
22,Costa Rica,777.2256187
23,Cote d'Ivoire,8.372336869
24,Croatia,124.1466754
25,Cyprus,76.22321668
26,Czech Republic,157.3532683
27,Egypt,1.269679086
27,Ethiopia, 47.54
28,El Salvador,100.2843722
29,Estonia,179.7391563
30,Finland,397.8672093
31,France,350.5262742
32,Georgia,27.96976678
33,Germany,576.7026062
34,Greece,57.32781968
35,Grenada,902.1778368
36,Guatemala,14.00444995
37,Guinea,0.35205186
38,Guyana,171.5676714
39,Honduras,46.16562861
40,Hong Kong,194.528842
41,Hungary,62.60589873
42,Iceland,423.0176209
43,India,40.82353097
44,Ireland,314.939534
45,Israel,419.0716883
46,Italy,65.82324563
47,Jamaica,348.1230068
48,Japan,69.24715643
49,Kazakhstan,14.07516922
50,Kenya,72.3967584
51,Kuwait,105.2808452
52,Kyrgyzstan,3.496827127
53,Latvia,149.24694
53,Libya, 66.04
54,Lithuania,121.2855313
55,Luxembourg,408.3627986
56,Maldives,263.8254857
57,Malta,94.40087233
58,Malaysia, 17.6
58,Mauritius,271.5516468
59,Mexico,232.849988
60,Mongolia,93.48493517
61,Montenegro,53.58661997
62,Morocco,41.72649343
63,Mozambique,19.35054785
64,Netherlands,360.3257455
65,New Zealand,464.7014142
66,Nicaragua,62.64509137
66,Nigeria, 67.86
67,Norway,424.7353274
68,Oman,12.09366188
69,Panama,207.0452024
70,Paraguay,284.7919474
71,Philippines,10.68322998
72,Poland,42.67085444
73,Portugal,169.9657035
74,Korea,199.4345326
75,Republic of Moldova,97.52152533
76,Romania,14.48385655
77,Russia,111.1014872
79,Sao Tome and Principe,0
79,Sudan, 35.04
80,Serbia,32.2020594
81,Sierra Leone,23.78739931
82,Singapore,183.7861307
83,Slovakia,27.27437465
84,Slovenia,138.0906768
85,Solomon Islands,212.9715384
86,Spain,115.0475516
87,Sweden,1317.722759
88,Switzerland,249.1793861
89,Syrian Arab Republic,0.793892321
90,Tajikistan,16.12074798
90,Tanzania, 59.10
91,Macedonia,40.513114
92,Trinidad and Tobago,466.6507858
93,Turkey,23.36684165
94,Uganda,299.7613547
94,United States of America, 382.90
95,Ukraine,32.54802475
96,Yemen,1.246192501
