"","Year","total crimes","population","crime type","value"
"1",2003,10511,8958000,"murder",2
"2",2004,10203,8994000,"murder",2
"3",2005,9956,9030000,"murder",3
"4",2006,9270,9081000,"murder",3
"5",2007,9394,9148000,"murder",3
"6",2008,9410,9220000,"murder",2
"7",2009,9404,9299000,"murder",2
"8",2010,9016,9378000,"murder",4
"9",2011,9300,9449000,"murder",2
"10",2003,10511,8958000,"assault",726
"11",2004,10203,8994000,"assault",746
"12",2005,9956,9030000,"assault",805
"13",2006,9270,9081000,"assault",848
"14",2007,9394,9148000,"assault",899
"15",2008,9410,9220000,"assault",918
"16",2009,9404,9299000,"assault",927
"17",2010,9016,9378000,"assault",936
"18",2011,9300,9449000,"assault",947
"19",2003,10511,8958000,"sexual offences",113
"20",2004,10203,8994000,"sexual offences",116
"21",2005,9956,9030000,"sexual offences",130
"22",2006,9270,9081000,"sexual offences",134
"23",2007,9394,9148000,"sexual offences",137
"24",2008,9410,9220000,"sexual offences",154
"25",2009,9404,9299000,"sexual offences",169
"26",2010,9016,9378000,"sexual offences",183
"27",2011,9300,9449000,"sexual offences",181
"28",2003,10511,8958000,"rape",29
"29",2004,10203,8994000,"rape",29
"30",2005,9956,9030000,"rape",42
"31",2006,9270,9081000,"rape",46
"32",2007,9394,9148000,"rape",52
"33",2008,9410,9220000,"rape",59
"34",2009,9404,9299000,"rape",64
"35",2010,9016,9378000,"rape",64
"36",2011,9300,9449000,"rape",69
"37",2003,10511,8958000,"stealing",7446
"38",2004,10203,8994000,"stealing",7247
"39",2005,9956,9030000,"stealing",6979
"40",2006,9270,9081000,"stealing",6417
"41",2007,9394,9148000,"stealing",6302
"42",2008,9410,9220000,"stealing",6091
"43",2009,9404,9299000,"stealing",5947
"44",2010,9016,9378000,"stealing",5631
"45",2011,9300,9449000,"stealing",5783
"46",2003,10511,8958000,"burglary",1366
"47",2004,10203,8994000,"burglary",1326
"48",2005,9956,9030000,"burglary",1254
"49",2006,9270,9081000,"burglary",1094
"50",2007,9394,9148000,"burglary",1057
"51",2008,9410,9220000,"burglary",1023
"52",2009,9404,9299000,"burglary",1026
"53",2010,9016,9378000,"burglary",985
"54",2011,9300,9449000,"burglary",995
"55",2003,10511,8958000,"robbery",95
"56",2004,10203,8994000,"robbery",96
"57",2005,9956,9030000,"robbery",104
"58",2006,9270,9081000,"robbery",95
"59",2007,9394,9148000,"robbery",95
"60",2008,9410,9220000,"robbery",97
"61",2009,9404,9299000,"robbery",103
"62",2010,9016,9378000,"robbery",98
"63",2011,9300,9449000,"robbery",103
"64",2003,10511,8958000,"fraud",734
"65",2004,10203,8994000,"fraud",641
"66",2005,9956,9030000,"fraud",639
"67",2006,9270,9081000,"fraud",633
"68",2007,9394,9148000,"fraud",849
"69",2008,9410,9220000,"fraud",1066
"70",2009,9404,9299000,"fraud",1166
"71",2010,9016,9378000,"fraud",1115
"72",2011,9300,9449000,"fraud",1220
